회사명,종목코드
핸즈코퍼레이션,143210.KS
현대리바트,79430.KS
현대모비스,12330.KS
현대지에프홀딩스,5440.KS
현대홈쇼핑,57050.KS
화천기공,850.KS
휴스틸,5010.KS
흥국화재,540.KS
DB손해보험,5830.KS
DL이앤씨,375500.KS
DN오토모티브,7340.KS
F&F 홀딩스,7700.KS
HD현대에너지솔루션,322000.KS
KB발해인프라,415640.KS
KIB플러그에너지,15590.KS
KTcs,58850.KS
LG생활건강,51900.KS
LG에너지솔루션,373220.KS
LX세미콘,108320.KS
POSCO홀딩스,5490.KS
S-Oil,10950.KS
SGC에너지,5090.KS
SJG세종,33530.KS
SK스퀘어,402340.KS
SK아이이테크놀로지,361610.KS
SK이노베이션,96770.KS
SNT모티브,64960.KS
STX엔진,77970.KS
TYM,2900.KS
경인전자,9140.KS
계룡건설산업,13580.KS
광동제약,9290.KS
교촌에프앤비,339770.KS
국도화학,7690.KS
극동유화,14530.KS
깨끗한나라,4540.KS
넥스틸,92790.KS
농심홀딩스,72710.KS
대구백화점,6370.KS
대림통상,6570.KS
대상홀딩스,84690.KS
대우건설,47040.KS
대창,12800.KS
대한제강,84010.KS
동국제강,460860.KS
동원수산,30720.KS
롯데렌탈,89860.KS
롯데리츠,330590.KS
롯데정밀화학,4000.KS
마스턴프리미어리츠,357430.KS
명문제약,17180.KS
모토닉,9680.KS
문배철강,8420.KS
방림,3610.KS
범양건영,2410.KS
비에이치,90460.KS
삼성증권,16360.KS
삼화전기,9470.KS
새론오토모티브,75180.KS
성보화학,3080.KS
세아제강지주,3030.KS
솔루스첨단소재,336370.KS
솔루엠,248070.KS
송원산업,4430.KS
신대양제지,16590.KS
신송홀딩스,6880.KS
신영와코루,5800.KS
신흥,4080.KS
쌍방울,102280.KS
아세아시멘트,183190.KS
에스엘,5850.KS
엘앤에프,66970.KS
영풍,670.KS
우성,6980.KS
우진아이엔에스,10400.KS
우진플라임,49800.KS
유나이티드,33270.KS
유니드,14830.KS
유니온머티리얼,47400.KS
유유제약,220.KS
유한양행,100.KS
이연제약,102460.KS
일양약품,7570.KS
제이알글로벌리츠,348950.KS
제일약품,271980.KS
조광페인트,4910.KS
조선내화,462520.KS
진양산업,3780.KS
진흥기업,2780.KS
케이씨,29460.KS
케이씨씨글라스,344820.KS
코스모신소재,5070.KS
코아스,71950.KS
코웨이,21240.KS
태광산업,3240.KS
파라다이스,34230.KS
팬오션,28670.KS
퍼스텍,10820.KS
평화홀딩스,10770.KS
하이스틸,71090.KS
한국앤컴퍼니,240.KS
한미반도체,42700.KS
한섬,20000.KS
한세실업,105630.KS
한세엠케이,69640.KS
한솔테크닉스,4710.KS
한솔홈데코,25750.KS
한양증권,1750.KS
한익스프레스,14130.KS
한진,2320.KS
한화생명,88350.KS
현대위아,11210.KS
현대제철,4020.KS
현대코퍼레이션홀딩스,227840.KS
화승코퍼레이션,13520.KS
화인베스틸,133820.KS
휠라홀딩스,81660.KS
휴니드테크놀러지스,5870.KS
휴비스,79980.KS
AJ네트웍스,95570.KS
BGF,27410.KS
DSR,155660.KS
DS단석,17860.KS
HD현대마린솔루션,443060.KS
HL D&I,14790.KS
INVENI,15360.KS
JW생명과학,234080.KS
KB스타리츠,432320.KS
KG스틸,16380.KS
KPX케미칼,25000.KS
KPX홀딩스,92230.KS
LG헬로비전,37560.KS
LIG넥스원,79550.KS
SBS,34120.KS
SH에너지화학,2360.KS
SK오션플랜트,100090.KS
SK하이닉스,660.KS
SNT홀딩스,36530.KS
SPC삼립,5610.KS
TCC스틸,2710.KS
YG PLUS,37270.KS
갤럭시아에스엠,11420.KS
국제약품,2720.KS
금비,8870.KS
금호전기,1210.KS
남광토건,1260.KS
남해화학,25860.KS
녹십자,6280.KS
대동,490.KS
대성산업,128820.KS
대성에너지,117580.KS
대양금속,9190.KS
대한제분,1130.KS
더본코리아,475560.KS
동아지질,28100.KS
동원F&B,49770.KS
동인기연,111380.KS
동일제강,2690.KS
두산밥캣,241560.KS
롯데칠성음료,5300.KS
메리츠금융지주,138040.KS
미래산업,25560.KS
미원에스씨,268280.KS
바이오노트,377740.KS
백산,35150.KS
벽산,7210.KS
보락,2760.KS
사조산업,7160.KS
삼성물산,28260.KS
삼성바이오로직스,207940.KS
삼성전자,5930.KS
삼성카드,29780.KS
삼영전자공업,5680.KS
상상인증권,1290.KS
상신브레이크,41650.KS
샘표식품,248170.KS
서연이화,200880.KS
신세계,4170.KS
신한서부티엔디리츠,404990.KS
써니전자,4770.KS
씨티알모빌리티,308170.KS
아세아제지,2310.KS
아진전자부품,9320.KS
애경산업,18250.KS
에쓰씨엔지니어링,23960.KS
에어부산,298690.KS
에이플러스에셋,244920.KS
오리엔트바이오,2630.KS
웅진,16880.KS
웰바이오텍,10600.KS
유니드비티플러스,446070.KS
유안타증권,3470.KS
이아이디,93230.KS
인바이오젠,101140.KS
일정실업,8500.KS
일진다이아,81000.KS
일진디스플,20760.KS
제주은행,6220.KS
조선선재,120030.KS
조흥,2600.KS
진양폴리우레탄,10640.KS
청호ICT,12600.KS
카프로,6380.KS
케이비아이동국실업,1620.KS
케이티,30200.KS
태경비케이,14580.KS
태영건설,9410.KS
팜젠사이언스,4720.KS
풀무원,17810.KS
한국쉘석유,2960.KS
한국철강,104700.KS
한국콜마,161890.KS
한국항공우주,47810.KS
한국화장품,123690.KS
한국화장품제조,3350.KS
한농화성,11500.KS
한독,2390.KS
한미사이언스,8930.KS
한성기업,3680.KS
한올바이오파마,9420.KS
한화,880.KS
한화갤러리아,452260.KS
한화엔진,82740.KS
현대건설,720.KS
현대오토에버,307950.KS
현대퓨처넷,126560.KS
CJ,1040.KS
CJ대한통운,120.KS
DB금융투자,16610.KS
E1,17940.KS
GS리테일,7070.KS
HDC,12630.KS
JW중외제약,1060.KS
JW홀딩스,96760.KS
KB금융,105560.KS
KG모빌리티,3620.KS
KH 필룩스,33180.KS
LG씨엔에스,64400.KS
LG이노텍,11070.KS
OCI,456040.KS
SG글로벌,1380.KS
SK디앤디,210980.KS
SK텔레콤,17670.KS
STX,11810.KS
경동도시가스,267290.KS
고려아연,10130.KS
광전자,17900.KS
광주신세계,37710.KS
그린케미칼,83420.KS
금양,1570.KS
까뮤이앤씨,13700.KS
농심,4370.KS
다이나믹디자인,145210.KS
대덕,8060.KS
대림바스,5750.KS
대성홀딩스,16710.KS
대한방직,1070.KS
대한유화,6650.KS
대한화섬,3830.KS
동방아그로,7590.KS
두산,150.KS
두산로보틱스,454910.KS
두올,16740.KS
디아이동일,1530.KS
디아이씨,92200.KS
롯데손해보험,400.KS
롯데웰푸드,280360.KS
마니커,27740.KS
모나미,5360.KS
미원상사,2840.KS
미원화학,134380.KS
보령,3850.KS
사조대림,3960.KS
사조오양,6090.KS
삼성SDI,6400.KS
삼성전기,9150.KS
삼양사,145990.KS
삼일씨엔에스,4440.KS
삼화페인트공업,390.KS
샘표,7540.KS
서울보증보험,31210.KS
서흥,8490.KS
세기상사,2420.KS
세아홀딩스,58650.KS
세우글로벌,13000.KS
시디즈,134790.KS
시알홀딩스,480.KS
신세계인터내셔날,31430.KS
신풍제약,19170.KS
씨케이솔루션,480370.KS
아세아,2030.KS
아센디오,12170.KS
에이엔피,15260.KS
에이프로젠,7460.KS
영보화학,14440.KS
영흥,12160.KS
와이투솔루션,11690.KS
우신시스템,17370.KS
유니퀘스트,77500.KS
이마트,139480.KS
이스타코,15020.KS
인디에프,14990.KS
일진전기,103590.KS
제일연마,1560.KS
조광피혁,4700.KS
종근당,185750.KS
진에어,272450.KS
체시스,33250.KS
카카오,35720.KS
케이씨씨,2380.KS
