title,urls,desc
"NHN 클라우드, 5년 연속 ‘금융 클라우드 지원 사업’ 참여",https://n.news.naver.com/mnews/article/009/0005458168,핀테크·블록체인 등 기업 대상 클라우드 지원 NHN 클라우드 선택 기업 대상 프로모션도 NHN 클라우드가 ‘2025년 금융 클라우드 지원 사업’에 공급 기업으로 5년 연속 참여하고 다양한 혜택을 제공하는 프로모션을 
"혜움, ‘AI 권위자’ 연세대 조성배 교수 사외이사 선임",https://n.news.naver.com/mnews/article/009/0005458167,국가AI위원회 기술혁신분과위원장 등 맡아 금융 AI 에이전트 사업 확대 및 고도화 속도 금융 인공지능(AI) 기술 기업 혜움은 연세대학교 컴퓨터과학과 조성배 특훈교수를 사외이사로 선임했다고 13일 밝혔다. 조 신임 
"JW메디칼, 대한영상의학기술학회 춘계학술대회에서 영상진단기기 전시",https://n.news.naver.com/mnews/article/018/0005961989,"JW메디칼은 대한영상의학기술학회 춘계학술대회에서 미국 케어스트림 헬스(케어스트림)의 영상진단기기를 전시하고, 국내 의료 관계자들을 대상으로 마케팅 활동을 진행했다고 13일 밝혔다. 대한영상의학기술학회는 일반·투시 분"
카카오 “김범수 CA협의체 사임…정신아 대표 단독 의장”,https://n.news.naver.com/mnews/article/056/0011910380,카카오 그룹의 컨트롤타워 역할을 하는 조직인 CA협의체가 정신아 카카오 대표 단독 의장 체제로 바뀝니다. 카카오측은 오늘(13일) “김범수 카카오 창업자가 건강상의 이유로 CA협의체 공동 의장에서 물러난다”며 “(하
“배터리 소재 中과 '기울어진 운동장'서 경쟁…파격 정책 지원 필요”,https://n.news.naver.com/mnews/article/030/0003292933,글로벌 배터리 소재 시장에서 중국의 존재감이 두드러지는 가운데 국내 기업 경쟁력 확보를 위해 정부 차원의 정책 지원이 필요하다고 업계가 한목소리로 호소했다 박재범 포스코경영연구원 수석연구원은 13일 국회 이차전지 포
"“중국 스파이, 코드 몆줄로 1억 달러 짜리 AI 기밀 노린다” 보안 위험 경고한 앤스로픽 CEO",https://n.news.naver.com/mnews/article/009/0005458162,생성형 인공지능(AI) ‘클로드’ 개발사인 앤스로픽의 다리오 아모데이 최고경영자(CEO)가 중국 스파이의 해킹으로 미국 AI 기업들의 기밀이 유출될 수 있다며 이를 막기 위한 미국 정부의 개입이 필요하다고 주장했다.
개인정보 파기 안해 306만명 털린 모두투어…과징금 7억5000원,https://n.news.naver.com/mnews/article/018/0005961978,국내 주요 여행사 모두투어(080160)가 이용자 306만명의 개인정보 유출 사고로 과징금 7억4700만원 처분을 받았다. 개인정보보호위원회는 지난 12일 전체회의를 열고 개인정보 보호 법규를 위반한 모두투어네트워크
"카카오, 다음 분사 추진…사내독립기업 설립 2년만(종합)",https://n.news.naver.com/mnews/article/001/0015263661,카카오가 포털 서비스 다음을 사내독립기업(CIC)으로 분리한 지 약 2년 만에 분사를 추진한다. 13일 ICT 업계에 따르면 카카오 콘텐츠 CIC는 이날 타운홀 미팅을 열고 직원들에게 이러한 분사 계획을 공유했다. 
"용인시, 삼성전자 앞 도로 '윌리엄슨카운티대로' 명예도로명",https://n.news.naver.com/mnews/article/001/0015263659,미국 윌리엄슨카운티 '용인대로' 지정에 화답 경기 용인시는 기흥구 농서동 삼성전자 기흥캠퍼스 앞 도로 370m 구간을 '윌리엄슨카운티대로(Willamson County Blvd)'라는 명예도로명을 부여했다고 13일 
"쏘카, KBO 손 잡았다…""야구팬 편한 이동 지원""",https://n.news.naver.com/mnews/article/029/0002941023,모빌리티 플랫폼 쏘카는 KBO와 '2025 신한SOL뱅크 KBO 리그 공동마케팅 스폰서십'을 체결했다고 13일 밝혔다. 지난 11일 서울 강남구 KBO 본사에서 열린 체결식에는 박재욱 쏘카 대표와 허구연 KBO 총재
